Sample,Altitude_m,Mach,Velocity_mps,Velocity_mps_noisy,Static_T_K,Static_P_Pa,Density_kgpm3,DynPressure_Pa,DynPressure_Pa_noisy,Tot_T_K,Tot_T_K_noisy,Tot_P_Pa,Tot_P_Pa_noisy,SpeedOfSound_mps
10,10000.0,0.4717171717171717,141.26121098684865,141.9138876619664,223.14999999999998,26435.887460311165,0.4127047353692698,4117.70572618331,4211.042861144423,233.08093773084377,233.1758571833899,30787.783477571484,31372.235094834923,299.46166783079263
11,10000.0,0.4888888888888889,146.40348205060974,146.98074816772623,223.14999999999998,26435.887460311165,0.4127047353692698,4422.952430396752,4474.0305895384445,233.8171209876543,233.67966043393082,31129.47925485367,31347.436048072435,299.46166783079263
12,10000.0,0.5060606060606061,151.54575311437083,151.59476015938554,223.14999999999998,26435.887460311165,0.4127047353692698,4739.112265991117,4611.457486086953,234.57962415059686,234.58279864173895,31486.23819954692,32351.904126451474,299.46166783079263
13,10000.0,0.5232323232323233,156.6880241781319,157.52464657669313,223.14999999999998,26435.887460311165,0.4127047353692698,5066.185232966404,4755.495658119667,235.36844721967142,235.31827037723863,31858.37522104592,32076.285592084347,299.46166783079263
14,10000.0,0.5404040404040404,161.830295241893,162.17727402943814,223.14999999999998,26435.887460311165,0.4127047353692698,5404.171331322615,5419.668557811526,236.18359019487804,236.1496318321783,32246.218701825586,32657.221031200923,299.46166783079263
15,10000.0,0.5575757575757576,166.97256630565408,166.33481165570066,223.14999999999998,26435.887460311165,0.4127047353692698,5753.070561059746,5639.30757145028,237.0250530762167,237.12897376582347,32650.110768859213,32502.896888101463,299.46166783079263
16,10000.0,0.5747474747474748,172.11483736941517,172.38851895907266,223.14999999999998,26435.887460311165,0.4127047353692698,6112.8829221778005,6162.874057016119,237.89283586368737,237.94860339388293,33070.407575150115,33103.4400339397,299.46166783079263
17,10000.0,0.591919191919192,177.25710843317626,176.54543939864732,223.14999999999998,26435.887460311165,0.4127047353692698,6483.608414676777,6488.303409266076,238.78693855729006,238.92553965328455,33507.47959147785,33161.28767235275,299.46166783079263
18,10000.0,0.6090909090909091,182.39937949693734,183.05135282221462,223.14999999999998,26435.887460311165,0.4127047353692698,6865.247038556677,7209.393713762445,239.70736115702474,239.69134897907844,33961.71190846195,34452.928224864234,299.46166783079263
19,10000.0,0.6262626262626263,187.54165056069843,187.50459625932842,223.14999999999998,26435.887460311165,0.4127047353692698,7257.7987938174965,7206.372567742871,240.6541036628915,240.5819797319617,34433.50454904979,33848.61028680924,299.46166783079263
20,10000.0,0.6434343434343435,192.68392162445951,192.54671940630345,223.14999999999998,26435.887460311165,0.4127047353692698,7661.26368045924,7441.362381300038,241.62716607489028,241.60396649266042,34923.27279153686,35311.62110632211,299.46166783079263
21,10000.0,0.6606060606060606,197.8261926882206,197.32081646069366,223.14999999999998,26435.887460311165,0.4127047353692698,8075.641698481905,8114.159570111953,242.6265483930211,242.65167951954078,35431.44750323125,35336.810851491115,299.46166783079263
22,10000.0,0.6777777777777778,202.9684637519817,203.87581655347552,223.14999999999998,26435.887460311165,0.4127047353692698,8500.932847885493,8548.19975079913,243.65225061728393,243.67054977657608,35958.47548487595,36539.86697956048,299.46166783079263
23,10000.0,0.694949494949495,208.11073481574277,207.9960452309958,223.14999999999998,26435.887460311165,0.4127047353692698,8937.137128670003,9229.16238105315,244.7042727476788,244.59189231700637,36504.819825945655,36877.54121505783,299.46166783079263
24,10000.0,0.7121212121212122,213.25300587950386,212.9351070591507,223.14999999999998,26435.887460311165,0.4127047353692698,9384.254540835436,9563.680527946206,245.78261478420566,245.79199268211065,37070.96027093651,37974.704832429816,299.46166783079263
25,10000.0,0.7292929292929293,218.39527694326495,218.1339284281448,223.14999999999998,26435.887460311165,0.4127047353692698,9842.28508438179,9918.959829659638,246.88727672686457,246.91092914308842,37657.39359677082,38020.14044355356,299.46166783079263
26,10000.0,0.7464646464646465,223.53754800702603,223.93262031705243,223.14999999999998,26435.887460311165,0.4127047353692698,10311.228759309068,10625.623478555812,248.01825857565555,248.27915670224783,38264.63400143957,37484.29410643688,299.46166783079263
27,10000.0,0.7636363636363637,228.67981907078712,228.95104646007906,223.14999999999998,26435.887460311165,0.4127047353692698,10791.085565617266,10535.67649825511,249.1755603305785,249.37006690172385,38893.21350400947,38859.978838598334,299.46166783079263
28,10000.0,0.7808080808080808,233.8220901345482,234.12841441132534,223.14999999999998,26435.887460311165,0.4127047353692698,11281.855503306388,11144.403097018241,250.35918199163348,250.27075621707965,39543.68235612248,38961.9135583306,299.46166783079263
29,10000.0,0.797979797979798,238.9643611983093,239.28411042204152,223.14999999999998,26435.887460311165,0.4127047353692698,11783.53857237643,11584.461139599549,251.5691235588205,251.53934061785503,40216.60946511834,39959.342237819474,299.46166783079263
30,10000.0,0.8151515151515152,244.10663226207038,245.6961326650342,223.14999999999998,26435.887460311165,0.4127047353692698,12296.134772827398,12212.38304626541,252.80538503213955,252.65372139193386,40912.58282891283,41662.73654330242,299.46166783079263
31,10000.0,0.8323232323232324,249.24890332583146,248.94726787840708,223.14999999999998,26435.887460311165,0.4127047353692698,12819.644104659284,12523.859235068054,254.06796641159062,254.0067485594856,41632.2099827669,41948.67329550176,299.46166783079263
32,10000.0,0.8494949494949495,254.39117438959255,254.01099511829526,223.14999999999998,26435.887460311165,0.4127047353692698,13354.066567872094,13490.530525403534,255.35686769717373,255.38957538470186,42376.118458083205,42029.17868011633,299.46166783079263
33,10000.0,0.8666666666666667,259.53344545335364,258.92947490332233,223.14999999999998,26435.887460311165,0.4127047353692698,13899.402162465827,13851.656994405375,256.6720888888889,256.79705738744883,43144.95625336931,42641.760422062944,299.46166783079263
34,10000.0,0.8838383838383839,264.6757165171147,265.13288768757394,223.14999999999998,26435.887460311165,0.4127047353692698,14455.650888440483,14139.64404201027,258.013629986736,257.93807146872945,43939.39231750864,43955.66491283248,299.46166783079263
35,10000.0,0.901010101010101,269.8179875808758,270.6558947666731,223.14999999999998,26435.887460311165,0.4127047353692698,15022.812745796058,14804.612739478156,259.38149099071524,259.31369860112704,44760.11704548219,44156.23275192252,299.46166783079263
36,10000.0,0.9181818181818182,274.9602586446369,274.8756884614819,223.14999999999998,26435.887460311165,0.4127047353692698,15600.887734532556,15668.247061600463,260.7756719008264,260.55313785409606,45607.84278668548,45274.69767051408,299.46166783079263
37,10000.0,0.9353535353535354,280.102529708398,279.47897751515114,223.14999999999998,26435.887460311165,0.4127047353692698,16189.87585464998,16369.949692122398,262.19617271706966,262.1793148534739,46483.30436598839,46638.18172195595,299.46166783079263
38,10000.0,0.9525252525252526,285.24480077215907,284.63288253498285,223.14999999999998,26435.887460311165,0.4127047353692698,16789.77710614832,17218.780323371207,263.6429934394449,263.5328902464879,47387.259617685624,47960.74116162753,299.46166783079263
39,10000.0,0.9696969696969697,290.38707183592015,290.8699325539918,223.14999999999998,26435.887460311165,0.4127047353692698,17400.59148902759,18026.64299034082,265.1161340679522,265.0612656749978,48320.489932488774,48622.67103860803,299.46166783079263
40,10000.0,0.9868686868686869,295.52934289968124,296.08097557919035,223.14999999999998,26435.887460311165,0.4127047353692698,18022.319003287776,18111.356029189792,266.61559460259156,266.5247212386977,49283.80081771215,48146.43515030612,299.46166783079263
41,10000.0,1.004040404040404,300.6716139634423,301.0747353397097,223.14999999999998,26435.887460311165,0.4127047353692698,18654.95964892889,18442.354615959888,268.14137504336287,268.13160615460947,50278.02247080589,50429.10607093615,299.46166783079263
42,10000.0,1.0212121212121212,305.8138850272034,305.3199531835697,223.14999999999998,26435.887460311165,0.4127047353692698,19298.51342595092,18840.43731889633,269.69347539026626,269.5113134146011,51304.01036639227,51339.76687502545,299.46166783079263
43,10000.0,1.0383838383838384,310.9561560909645,311.12846292445903,223.14999999999998,26435.887460311165,0.4127047353692698,19952.980334353873,20010.498890865834,271.27189564330166,271.1198585813729,52362.64585696216,52568.095495207046,299.46166783079263
44,10000.0,1.0555555555555556,316.0984271547256,316.18502970342405,223.14999999999998,26435.887460311165,0.4127047353692698,20618.360374137752,20443.6977058974,272.8766358024691,273.0973000771737,53454.83678739069,54257.10179857385,299.46166783079263
45,10000.0,1.0727272727272728,321.24069821848667,321.4030057860263,223.14999999999998,26435.887460311165,0.4127047353692698,21294.653545302554,21205.412876139075,274.5076958677686,274.3742739795667,54581.518123431735,53557.35405734151,299.46166783079263
46,10000.0,1.08989898989899,326.38296928224776,327.0297313327083,223.14999999999998,26435.887460311165,0.4127047353692698,21981.859847848275,21850.34913844767,276.16507583920003,276.0514105944245,55743.65259435392,55450.23670815724,299.46166783079263
47,10000.0,1.107070707070707,331.52524034600884,331.69118978359785,223.14999999999998,26435.887460311165,0.4127047353692698,22679.97928177492,22649.72996601604,277.84877571676356,278.03914403481,56942.23134988084,57235.54939706621,299.46166783079263
48,10000.0,1.1242424242424243,336.66751140976993,337.1713914046121,223.14999999999998,26435.887460311165,0.4127047353692698,23389.011847082485,23618.04068136692,279.5587955004591,279.859861795793,58178.2746316001,57393.19218656189,299.46166783079263
49,10000.0,1.1414141414141414,341.809782473531,341.85993869817827,223.14999999999998,26435.887460311165,0.4127047353692698,24108.957543770975,24142.699867773994,281.29513519028666,281.17372002012746,59452.832459007725,60185.473955334295,299.46166783079263
50,10000.0,1.1585858585858586,346.9520535372921,347.1666338447786,223.14999999999998,26435.887460311165,0.4127047353692698,24839.816371840385,24805.733233378214,283.0577947862463,283.0196313488034,60766.985330355,60949.832658497326,299.46166783079263
51,10000.0,1.1757575757575758,352.0943246010532,352.56285774765905,223.14999999999998,26435.887460311165,0.4127047353692698,25581.588331290717,25359.075225623892,284.8467742883379,284.8821713577968,62121.84493846648,62542.07798036749,299.46166783079263
52,10000.0,1.192929292929293,357.2365956648143,356.15511533074795,223.14999999999998,26435.887460311165,0.4127047353692698,26334.273422121973,25974.46310712367,286.66207369656155,286.8412270741716,63518.55490169951,63235.14605432286,299.46166783079263
53,10000.0,1.2101010101010101,362.37886672857536,362.1416112963514,223.14999999999998,26435.887460311165,0.4127047353692698,27097.871644334155,26993.387029796726,288.50369301091723,288.4014201933479,64958.29151021612,65362.232993331236,299.46166783079263
54,10000.0,1.2272727272727273,367.52113779233645,367.1720338953005,223.14999999999998,26435.887460311165,0.4127047353692698,27872.38299792725,27860.827666446417,290.37163223140493,290.3462128906106,66442.26448774005,66972.6395712123,299.46166783079263
55,10000.0,1.2444444444444445,372.66340885609753,372.18924279963954,223.14999999999998,26435.887460311165,0.4127047353692698,28657.80748290127,29037.652169987636,292.26589135802465,292.3464506465419,67971.7177689724,68087.31532388792,299.46166783079263
56,10000.0,1.2616161616161616,377.8056799198586,377.60147325251546,223.14999999999998,26435.887460311165,0.4127047353692698,29454.145099256217,29482.134944591202,294.1864703907764,294.2315273219078,69547.93029284084,69664.28378146129,299.46166783079263
57,10000.0,1.2787878787878788,382.9479509836197,384.05747517221573,223.14999999999998,26435.887460311165,0.4127047353692698,30261.395846992084,30472.540179798856,296.1333693296602,296.09438643933953,71172.21681175822,71306.41160365184,299.46166783079263
58,10000.0,1.295959595959596,388.0902220473808,387.4476145022675,223.14999999999998,26435.887460311165,0.4127047353692698,31079.559726108873,30972.28467016128,298.10658817467606,298.09271944744523,72845.92871706728,72417.3755990316,299.46166783079263
59,10000.0,1.3131313131313131,393.2324931111418,393.95113554054,223.14999999999998,26435.887460311165,0.4127047353692698,31908.63673660657,31654.048253934077,300.10612692582384,299.9636397599921,74570.45488085008,74497.22360421155,299.46166783079263
60,10000.0,1.3303030303030303,398.3747641749029,397.12576215466777,223.14999999999998,26435.887460311165,0.4127047353692698,32748.62687848521,32541.268842549474,302.1319855831037,302.1073024750835,76347.22251428085,76271.51235575824,299.46166783079263
61,10000.0,1.3474747474747475,403.517035238664,403.26848833024985,223.14999999999998,26435.887460311165,0.4127047353692698,33599.530151744766,33443.71330321786,304.1841641465156,304.15655711023453,78177.69804270197,78368.00966276285,299.46166783079263
62,10000.0,1.3646464646464647,408.6593063024251,408.7800993135922,223.14999999999998,26435.887460311165,0.4127047353692698,34461.34655638524,34918.654232034285,306.2626626160596,306.28672351533856,80063.38799760469,80559.687468976,299.46166783079263
63,10000.0,1.3818181818181818,413.80157736618617,414.2366632465818,223.14999999999998,26435.887460311165,0.4127047353692698,35334.07609240664,35157.598866838845,308.3674809917355,308.3099297205504,82005.83992569626,81480.39667950894,299.46166783079263
64,10000.0,1.398989898989899,418.94384842994725,419.4717106864267,223.14999999999998,26435.887460311165,0.4127047353692698,36217.71875980896,36397.870510606364,310.49861927354345,310.54748711301824,84006.64331523608,83944.59049359671,299.46166783079263
65,10000.0,1.4161616161616162,424.08611949370834,424.6749305331753,223.14999999999998,26435.887460311165,0.4127047353692698,37112.27455859221,36918.27812876329,312.6560774614835,312.76103014647657,86067.43053982478,86802.80538938992,299.46166783079263
66,10000.0,1.4333333333333333,429.2283905574694,428.96957176644275,223.14999999999998,26435.887460311165,0.4127047353692698,38017.74348875637,38217.894556315834,314.8398555555555,314.85596345569735,88189.87781983086,87820.77050320193,299.46166783079263
67,10000.0,1.4505050505050505,434.3706616212305,434.0275106936677,223.14999999999998,26435.887460311165,0.4127047353692698,38934.12555030146,39016.83334213241,317.04995355575954,317.0864077898847,90375.70620163988,89967.55221840001,299.46166783079263
68,10000.0,1.4676767676767677,439.5129326849916,440.1497101867791,223.14999999999998,26435.887460311165,0.4127047353692698,39861.42074322747,39827.76665277695,319.28637146209564,319.291880210307,92626.68255491307,92727.10466046937,299.46166783079263
69,10000.0,1.4848484848484849,444.6552037487527,444.51322039847395,223.14999999999998,26435.887460311165,0.4127047353692698,40799.629067534406,40790.87112477557,321.54910927456376,321.5491180206319,94944.62058804122,95363.76217714215,299.46166783079263
70,10000.0,1.502020202020202,449.79747481251377,448.85067855892987,223.14999999999998,26435.887460311165,0.4127047353692698,41748.75052322226,41608.06755532409,323.83816699316395,323.763388410993,97331.38188198257,97337.05362414339,299.46166783079263
71,10000.0,1.5191919191919192,454.93974587627486,454.09863621724406,223.14999999999998,26435.887460311165,0.4127047353692698,42708.78511029104,42804.624970507444,326.1535446178961,326.18634446358135,99788.87694267274,100448.55532169325,299.46166783079263
72,10000.0,1.5363636363636364,460.08201694003594,459.3996125246169,223.14999999999998,26435.887460311165,0.4127047353692698,43679.732828740736,43581.97835533542,328.49524214876027,328.48515986354494,102319.06627219555,102744.36742080835,299.46166783079263
73,10000.0,1.5535353535353535,465.224288003797,465.5932736402248,223.14999999999998,26435.887460311165,0.4127047353692698,44661.593678571364,44398.268852030735,330.8632595857565,331.080184837934,104923.96145890492,105341.82975473629,299.46166783079263
74,10000.0,1.5707070707070707,470.3665590675581,470.47226542409624,223.14999999999998,26435.887460311165,0.4127047353692698,45654.36765978291,45379.799197365515,333.25759692888477,333.42065137965585,107605.62628668784,107880.68235532701,299.46166783079263
75,10000.0,1.587878787878788,475.5088301313192,476.02129854492995,223.14999999999998,26435.887460311165,0.4127047353692698,46658.05477237537,46695.135769251145,335.67825417814504,335.7182413403613,110366.17786356034,111521.5939347423,299.46166783079263
76,10000.0,1.605050505050505,480.6511011950803,480.33400035494054,223.14999999999998,26435.887460311165,0.4127047353692698,47672.65501634876,48011.92718973344,338.12523133353733,338.0461519891135,113207.78776978712,113105.94823344408,299.46166783079263
77,10000.0,1.6222222222222222,485.7933722588414,485.9110381637035,223.14999999999998,26435.887460311165,0.4127047353692698,48698.168391703075,48732.543037398835,340.5985283950617,340.48324376264316,116132.68322571799,115138.16138099776,299.46166783079263
78,10000.0,1.6393939393939394,490.93564332260246,491.39994761939585,223.14999999999998,26435.887460311165,0.4127047353692698,49734.59489843831,49709.10512222517,343.098145362718,343.22158932294604,119143.14827953343,119939.47882865394,299.46166783079263
79,10000.0,1.6565656565656566,496.07791438636355,495.8483217823605,223.14999999999998,26435.887460311165,0.4127047353692698,50781.934536554465,50843.34508214481,345.6240822365064,345.6513122216353,122241.52501509353,122014.3290990785,299.46166783079263
80,10000.0,1.6737373737373737,501.22018545012463,501.55919753776516,223.14999999999998,26435.887460311165,0.4127047353692698,51840.18730605154,52120.785433331584,348.1763390164269,348.22609862171885,125430.21478008287,125483.76519923324,299.46166783079263
81,10000.0,1.690909090909091,506.3624565138857,505.8711844905939,223.14999999999998,26435.887460311165,0.4127047353692698,52909.35320692955,52956.488150991914,350.75491570247925,350.5741157383507,128711.67943464767,129361.72299444195,299.46166783079263
82,10000.0,1.708080808080808,511.5047275776468,511.2352741740251,223.14999999999998,26435.887460311165,0.4127047353692698,53989.43223918847,53901.14337422139,353.35981229466375,353.45592727291597,132088.44262071897,131293.10227396848,299.46166783079263
83,10000.0,1.7252525252525253,516.6469986414079,516.3636782034001,223.14999999999998,26435.887460311165,0.4127047353692698,55080.424402828314,55318.11362663299,355.9910287929803,356.0381225914298,135563.09105221747,134941.7900059347,299.46166783079263
84,10000.0,1.7424242424242424,521.789269705169,520.9017345206823,223.14999999999998,26435.887460311165,0.4127047353692698,56182.32969784908,56274.44921794586,358.6485651974288,358.5334858436977,139138.27582633702,138343.4227347397,299.46166783079263
85,10000.0,1.7595959595959596,526.9315407689301,527.2929648212001,223.14999999999998,26435.887460311165,0.4127047353692698,57295.14812425077,57625.10959486105,361.33242150800936,361.2835550898969,142816.71375610144,142422.5150535251,299.46166783079263
86,10000.0,1.7767676767676768,532.0738118326911,531.7254280889786,223.14999999999998,26435.887460311165,0.4127047353692698,58418.879682033374,58458.24811340352,364.04259772472193,364.0699280262627,146601.1887243939,146819.41849411192,299.46166783079263
87,10000.0,1.793939393939394,537.2160828964522,537.2253558537512,223.14999999999998,26435.887460311165,0.4127047353692698,59553.524371196916,59290.44377471613,366.7790938475665,366.7845312380601,150494.553059654,150754.75293987413,299.46166783079263
88,10000.0,1.8111111111111111,542.3583539602133,542.7151572959926,223.14999999999998,26435.887460311165,0.4127047353692698,60699.08219174136,60405.12936084577,369.5419098765431,369.51163074997265,154499.72893344145,154636.86776516915,299.46166783079263
89,10000.0,1.8282828282828283,547.5006250239744,547.8320341147823,223.14999999999998,26435.887460311165,0.4127047353692698,61855.55314366675,62210.259627789026,372.3310458116518,372.32032081712947,158619.7097800647,157918.4315669048,299.46166783079263
90,10000.0,1.8454545454545455,552.6428960877355,553.1367354562705,223.14999999999998,26435.887460311165,0.4127047353692698,63022.93722697305,63393.27162842377,375.1465016528925,375.12038800685775,162857.56173847232,161710.85708717303,299.46166783079263
91,10000.0,1.8626262626262626,557.7851671514966,557.7120726249974,223.14999999999998,26435.887460311165,0.4127047353692698,64201.23444166028,64162.664236545505,377.9882774002652,378.0040881983121,167216.4251166063,167243.4055141909,299.46166783079263
92,10000.0,1.8797979797979798,562.9274382152577,562.6132722258135,223.14999999999998,26435.887460311165,0.4127047353692698,65390.44478772841,65308.115919952405,380.85637305376997,381.00887095179223,171699.5158784176,171465.33252386912,299.46166783079263
93,10000.0,1.896969696969697,568.0697092790188,568.0105435561857,223.14999999999998,26435.887460311165,0.4127047353692698,66590.56826517748,66904.56365923518,383.7507886134067,383.48479326693746,176310.1271537407,176538.16014690226,299.46166783079263
94,10000.0,1.9141414141414141,573.2119803427798,571.9596647136254,223.14999999999998,26435.887460311165,0.4127047353692698,67801.60487400748,67563.75301265476,386.6715240791755,386.64697812979443,181051.63077123195,181400.07122433896,299.46166783079263
95,10000.0,1.9313131313131313,578.3542514065409,577.2802251021594,223.14999999999998,26435.887460311165,0.4127047353692698,69023.55461421839,68831.32001151584,389.61857945107636,389.63687229516125,185927.47881456633,185996.10002460834,299.46166783079263
96,10000.0,1.9484848484848485,583.496522470302,582.5148336219672,223.14999999999998,26435.887460311165,0.4127047353692698,70256.41748581022,70394.63804712654,392.5919547291092,392.6226300315118,190941.2052020983,191318.5251656916,299.46166783079263
97,10000.0,1.9656565656565657,588.6387935340631,587.8986511158228,223.14999999999998,26435.887460311165,0.4127047353692698,71500.19348878298,71415.41147436944,395.59164991327407,395.5531065892626,196096.4272901842,196210.20477073354,299.46166783079263
98,10000.0,1.9828282828282828,593.7810645978242,594.0777713455698,223.14999999999998,26435.887460311165,0.4127047353692698,72754.88262313665,72753.78217574525,398.617665003571,398.4356073476988,201396.84750036913,201659.96457719093,299.46166783079263
99,10000.0,2.0,598.9233356615853,598.2513019793001,223.14999999999998,26435.887460311165,0.4127047353692698,74020.48488887126,73985.36872495002,401.6699999999999,401.7039917734823,206846.2549706397,206496.4645260365,299.46166783079263
